Region,Date Initial Stringency,Date Final Stringency,Change in Stringency,Change in Net Effects
NOR,NOR,2020-01-22 00:00:00,2020-01-31 00:00:00,11.11,0
NOR,NOR,2020-01-31 00:00:00,2020-03-10 00:00:00,3.700000000000001,0
NOR,NOR,2020-03-10 00:00:00,2020-03-11 00:00:00,5.5600000000000005,4268
NOR,NOR,2020-03-11 00:00:00,2020-03-12 00:00:00,20.37,4297
NOR,NOR,2020-03-12 00:00:00,2020-03-14 00:00:00,5.559999999999995,4464
NOR,NOR,2020-03-14 00:00:00,2020-03-15 00:00:00,5.550000000000004,4488
NOR,NOR,2020-03-15 00:00:00,2020-03-16 00:00:00,8.339999999999996,4503
NOR,NOR,2020-03-16 00:00:00,2020-03-19 00:00:00,2.770000000000003,4574
NOR,NOR,2020-03-19 00:00:00,2020-03-24 00:00:00,16.669999999999995,4535
NOR,NOR,2020-03-24 00:00:00,2020-04-20 00:00:00,-5.560000000000002,3861
NOR,NOR,2020-04-20 00:00:00,2020-04-21 00:00:00,-2.769999999999996,1019
NOR,NOR,2020-04-21 00:00:00,2020-04-27 00:00:00,-3.7099999999999937,1012
NOR,NOR,2020-04-27 00:00:00,2020-05-11 00:00:00,-3.700000000000003,686
NOR,NOR,2020-05-11 00:00:00,2020-05-14 00:00:00,-5.560000000000002,-7369
NOR,NOR,2020-05-14 00:00:00,2020-06-02 00:00:00,-14.809999999999995,-7792
NOR,NOR,2020-06-02 00:00:00,2020-06-15 00:00:00,-2.780000000000001,-83
NOR,NOR,2020-06-15 00:00:00,2020-08-21 00:00:00,-2.780000000000001,298
NOR,NOR,2020-08-21 00:00:00,2020-09-21 00:00:00,-5.550000000000004,508
NOR,NOR,2020-09-21 00:00:00,2020-10-26 00:00:00,11.110000000000007,1151
NOR,NOR,2020-10-26 00:00:00,2020-11-05 00:00:00,9.259999999999998,3972
NOR,NOR,2020-11-05 00:00:00,2020-11-09 00:00:00,1.8500000000000014,5416
NOR,NOR,2020-11-09 00:00:00,2020-11-11 00:00:00,1.3900000000000006,4737
NOR,NOR,2020-11-11 00:00:00,2021-01-04 00:00:00,5.089999999999996,4389
NOR,NOR,2021-01-04 00:00:00,2021-01-16 00:00:00,5.560000000000002,10169
NOR,NOR,2021-01-16 00:00:00,2021-01-23 00:00:00,3.700000000000003,6273
NOR,NOR,2021-01-23 00:00:00,2021-01-29 00:00:00,2.780000000000001,5637
NOR,NOR,2021-01-29 00:00:00,2021-02-22 00:00:00,-1.8500000000000085,5575
NOR,NOR,2021-02-22 00:00:00,2021-02-23 00:00:00,-3.7099999999999937,12579
NOR,NOR,2021-02-23 00:00:00,2021-03-02 00:00:00,1.8499999999999943,13340
NOR,NOR,2021-03-02 00:00:00,2021-03-16 00:00:00,1.8599999999999994,16912
NOR,NOR,2021-03-16 00:00:00,2021-04-16 00:00:00,-2.780000000000001,17730
NOR,NOR,2021-04-16 00:00:00,2021-04-27 00:00:00,-2.780000000000001,9150
CHE,CHE,2020-01-22 00:00:00,2020-02-25 00:00:00,8.33,0
CHE,CHE,2020-02-25 00:00:00,2020-02-27 00:00:00,5.5600000000000005,2722
CHE,CHE,2020-02-27 00:00:00,2020-02-28 00:00:00,5.550000000000001,4093
CHE,CHE,2020-02-28 00:00:00,2020-03-03 00:00:00,5.559999999999999,5325
CHE,CHE,2020-03-03 00:00:00,2020-03-13 00:00:00,8.329999999999998,9814
CHE,CHE,2020-03-13 00:00:00,2020-03-16 00:00:00,11.11,14205
CHE,CHE,2020-03-16 00:00:00,2020-03-17 00:00:00,28.710000000000008,12156
CHE,CHE,2020-03-17 00:00:00,2020-04-27 00:00:00,-3.710000000000008,11647
CHE,CHE,2020-04-27 00:00:00,2020-05-11 00:00:00,-11.11,-3746
CHE,CHE,2020-05-11 00:00:00,2020-05-30 00:00:00,-2.769999999999996,-1098
CHE,CHE,2020-05-30 00:00:00,2020-06-06 00:00:00,-9.260000000000005,-65
CHE,CHE,2020-06-06 00:00:00,2020-06-22 00:00:00,-11.11,240
CHE,CHE,2020-06-22 00:00:00,2020-07-03 00:00:00,4.160000000000004,1048
CHE,CHE,2020-07-03 00:00:00,2020-07-31 00:00:00,3.710000000000001,765
CHE,CHE,2020-07-31 00:00:00,2020-10-01 00:00:00,-11.120000000000001,1319
CHE,CHE,2020-10-01 00:00:00,2020-10-10 00:00:00,-2.7699999999999996,32759
CHE,CHE,2020-10-10 00:00:00,2020-10-19 00:00:00,3.6999999999999957,77292
CHE,CHE,2020-10-19 00:00:00,2020-10-20 00:00:00,2.780000000000001,112927
CHE,CHE,2020-10-20 00:00:00,2020-10-29 00:00:00,6.020000000000003,81903
CHE,CHE,2020-10-29 00:00:00,2020-11-02 00:00:00,17.589999999999996,26690
CHE,CHE,2020-11-02 00:00:00,2020-11-21 00:00:00,-1.8500000000000014,-307
CHE,CHE,2020-11-21 00:00:00,2020-12-12 00:00:00,2.780000000000001,-25625
CHE,CHE,2020-12-12 00:00:00,2021-04-19 00:00:00,-9.259999999999998,54118
AUS,AUS,2020-01-22 00:00:00,2020-01-25 00:00:00,11.11,13
AUS,AUS,2020-01-25 00:00:00,2020-02-01 00:00:00,8.330000000000002,7
AUS,AUS,2020-02-01 00:00:00,2020-03-16 00:00:00,11.119999999999997,-6
AUS,AUS,2020-03-16 00:00:00,2020-03-18 00:00:00,5.550000000000001,4400
AUS,AUS,2020-03-18 00:00:00,2020-03-19 00:00:00,8.329999999999998,4429
AUS,AUS,2020-03-19 00:00:00,2020-03-20 00:00:00,2.780000000000001,4026
AUS,AUS,2020-03-20 00:00:00,2020-03-23 00:00:00,5.560000000000002,3704
AUS,AUS,2020-03-23 00:00:00,2020-03-24 00:00:00,15.739999999999995,3005
AUS,AUS,2020-03-24 00:00:00,2020-03-29 00:00:00,2.780000000000001,2354
AUS,AUS,2020-03-29 00:00:00,2020-04-02 00:00:00,1.8500000000000085,-1203
AUS,AUS,2020-04-02 00:00:00,2020-04-18 00:00:00,-3.710000000000008,-2930
AUS,AUS,2020-04-18 00:00:00,2020-05-15 00:00:00,-3.700000000000003,-1616
AUS,AUS,2020-05-15 00:00:00,2020-05-16 00:00:00,-1.3900000000000006,-108
AUS,AUS,2020-05-16 00:00:00,2020-05-18 00:00:00,2.780000000000001,-120
AUS,AUS,2020-05-18 00:00:00,2020-05-25 00:00:00,-1.8499999999999943,-105
AUS,AUS,2020-05-25 00:00:00,2020-05-29 00:00:00,-1.8500000000000014,-83
AUS,AUS,2020-05-29 00:00:00,2020-06-01 00:00:00,-1.3900000000000006,-50
AUS,AUS,2020-06-01 00:00:00,2020-06-09 00:00:00,-1.8500000000000014,-18
AUS,AUS,2020-06-09 00:00:00,2020-06-12 00:00:00,-9.729999999999997,348
AUS,AUS,2020-06-12 00:00:00,2020-06-23 00:00:00,1.8500000000000014,452
AUS,AUS,2020-06-23 00:00:00,2020-07-01 00:00:00,16.67,1970
AUS,AUS,2020-07-01 00:00:00,2020-07-08 00:00:00,6.47999999999999,3650
AUS,AUS,2020-07-08 00:00:00,2020-07-13 00:00:00,-3.6999999999999886,5279
AUS,AUS,2020-07-13 00:00:00,2020-07-16 00:00:00,-3.700000000000003,8807
AUS,AUS,2020-07-16 00:00:00,2020-08-02 00:00:00,3.700000000000003,9178
AUS,AUS,2020-08-02 00:00:00,2020-08-03 00:00:00,3.6999999999999886,-1715
AUS,AUS,2020-08-03 00:00:00,2020-09-28 00:00:00,-7.3999999999999915,-2362
AUS,AUS,2020-09-28 00:00:00,2020-10-28 00:00:00,-19.450000000000003,-39
AUS,AUS,2020-10-28 00:00:00,2020-10-30 00:00:00,1.8500000000000014,-35
AUS,AUS,2020-10-30 00:00:00,2020-11-05 00:00:00,2.780000000000001,46
AUS,AUS,2020-11-05 00:00:00,2020-11-08 00:00:00,1.8500000000000014,113
AUS,AUS,2020-11-08 00:00:00,2020-11-22 00:00:00,-5.090000000000003,122
AUS,AUS,2020-11-22 00:00:00,2020-12-01 00:00:00,12.5,71
AUS,AUS,2020-12-01 00:00:00,2020-12-19 00:00:00,8.329999999999998,211
AUS,AUS,2020-12-19 00:00:00,2021-01-11 00:00:00,-15.739999999999995,328
AUS,AUS,2021-01-11 00:00:00,2021-01-31 00:00:00,15.739999999999995,8
AUS,AUS,2021-01-31 00:00:00,2021-02-01 00:00:00,7.409999999999997,35
AUS,AUS,2021-02-01 00:00:00,2021-02-05 00:00:00,-14.809999999999995,37
AUS,AUS,2021-02-05 00:00:00,2021-02-08 00:00:00,-7.409999999999997,40
AUS,AUS,2021-02-08 00:00:00,2021-02-12 00:00:00,14.809999999999995,49
AUS,AUS,2021-02-12 00:00:00,2021-02-15 00:00:00,7.409999999999997,65
AUS,AUS,2021-02-15 00:00:00,2021-02-16 00:00:00,-2.780000000000001,91
AUS,AUS,2021-02-16 00:00:00,2021-02-18 00:00:00,-22.21999999999999,97
AUS,AUS,2021-02-18 00:00:00,2021-02-27 00:00:00,-2.780000000000001,109
AUS,AUS,2021-02-27 00:00:00,2021-03-15 00:00:00,-5.550000000000004,163
AUS,AUS,2021-03-15 00:00:00,2021-03-26 00:00:00,5.550000000000004,138
AUS,AUS,2021-03-26 00:00:00,2021-03-29 00:00:00,24.999999999999993,95
AUS,AUS,2021-03-29 00:00:00,2021-04-01 00:00:00,-28.699999999999996,93
AUS,AUS,2021-04-01 00:00:00,2021-04-15 00:00:00,-1.8500000000000014,137
AUS,AUS,2021-04-15 00:00:00,2021-04-19 00:00:00,-5.559999999999995,127
AUS,AUS,2021-04-19 00:00:00,2021-04-24 00:00:00,36.10999999999999,95
IRL,IRL,2020-01-22 00:00:00,2020-02-04 00:00:00,5.56,0
IRL,IRL,2020-02-04 00:00:00,2020-02-29 00:00:00,5.55,0
IRL,IRL,2020-02-29 00:00:00,2020-03-12 00:00:00,20.37,782
IRL,IRL,2020-03-12 00:00:00,2020-03-13 00:00:00,11.110000000000003,3898
IRL,IRL,2020-03-13 00:00:00,2020-03-15 00:00:00,5.559999999999995,4297
IRL,IRL,2020-03-15 00:00:00,2020-03-26 00:00:00,9.259999999999998,4996
IRL,IRL,2020-03-26 00:00:00,2020-03-27 00:00:00,18.52000000000001,11847
IRL,IRL,2020-03-27 00:00:00,2020-03-28 00:00:00,9.259999999999991,12295
